chapter_number,section_number,section_title
III,1,Classification of AI systems as high-risk
III,2,Requirements for high-risk AI systems
III,3,Obligations of providers and deployers of high-risk AI systems and other parties
III,4,Notifying authorities and notified bodies
III,5,"Standards, conformity assessment, certificates, registration"
V,1,Classification rules
V,2,Obligations for providers of general-purpose AI models
V,3,Obligations of providers of general-purpose AI models with systemic risk
V,4,Codes of practice
VII,1,Governance at Union level
VII,2,National competent authorities
IX,1,Post-market monitoring
IX,2,Sharing of information on serious incidents
IX,3,Enforcement
IX,4,Remedies
IX,5,"Supervision, investigation, enforcement and monitoring in respect of providers of general-purpose AI models"
